UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
1	0
1	0
0	0
0	0
0	0
0	0
9	0
0	2
0	2
25	89
0	89
0	0
0	0
0	0
2	35
0	35
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	7
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	7
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
825	1
1020	0
6508	0
1544	2
132	64
1672	63
1679	2
117	0
90	17
1201	17
1312	0
52	0
2088	0
0	25
21	25
6	2
1593	169
0	0
13	0
1	0
4	0
0	0
0	0
0	0
1	55
0	55
0	0
0	0
1	0
0	80
6	80
28	0
36	0
0	0
0	630
18	630
0	1
6	0
0	0
0	0
0	0
42	0
0	57
3	57
89	0
2	6
4	6
0	0
19	0
365	0
2	0
0	0
32	0
91	0
0	0
1	0
0	0
0	0
0	0
0	0
3	0
0	0
16	0
27	0
0	0
11	0
7	0
0	0
0	0
1	0
0	0
0	0
72	0
2	2
0	0
0	0
0	0
19	0
1	0
0	0
0	0
2	0
0	0
0	0
0	0
57	0
6	0
0	0
0	0
6	0
0	0
0	0
0	1
75	0
20	5
0	3
0	3
0	3
0	1
0	0
22	0
3	0
0	0
0	0
0	0
51	0
1	0
0	111
14	109
7	0
0	0
2	0
0	0
0	0
0	0
332	1
2	0
0	0
1	3
0	0
0	10
2	10
0	0
1	0
53	0
8	0
0	0
36	0
57	0
0	2
1	2
1	0
12	0
45	0
0	0
37	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	10
4	10
0	0
0	0
4	0
0	0
0	23
1	23
0	0
8	0
0	0
36	0
0	0
0	0
0	0
0	0
